6652,1320,1176,7222,9699,
38404,3953,3740,9121,78810,
171733,18073,18456,32123,306929,
306094,47080,49274,72419,450777,
387689,117511,106514,115443,920607,
474100,199396,197168,161500,1350495,
666292,253244,261498,226730,1508253,
1299268,629257,769062,355525,3071766,
957781,1057070,1052796,365549,4488614,
893571,1123586,980593,319088,1367620,
594389,1653965,1365596,366341,1770960,
1310118,1888956,1690341,446796,3417778,
1284009,2409971,2921451,577954,4246953,
983989,2269441,2622995,709036,3586116,
1094811,3200209,3229352,653936,4465938,
2025809,5746152,4934106,1026660,8064450,
